,HOG,label
56,[0.07081372 0.09077226 0.06706404 ... 0.05258066 0.03363011 0.03359284],0
57,[0.1220181  0.21317818 0.08967016 ... 0.00717658 0.0031353  0.        ],0
58,[0.01188948 0.02005444 0.01285318 ... 0.04666406 0.01172439 0.02947631],1
59,[0.         0.45771725 0.         ... 0.03679724 0.01690389 0.03921408],0
60,[0.13787491 0.21511347 0.26357497 ... 0.11865889 0.01851911 0.01576044],1
61,"[3.51488086e-03 2.33397679e-02 0.00000000e+00 ... 1.97900267e-01
 1.73144993e-04 2.67833336e-02]",0
62,"[0.00000000e+00 2.61975845e-01 2.76178767e-02 ... 1.14990913e-05
 3.82327314e-06 9.53988076e-04]",0
63,[0.24151124 0.51382784 0.01228812 ... 0.15692794 0.07885833 0.02192143],1
64,[0.12748352 0.3380711  0.12285782 ... 0.11570183 0.01055655 0.02432742],0
65,[0.06848287 0.09357566 0.05070305 ... 0.14761089 0.06644087 0.03784476],0
66,[0.16106102 0.33071948 0.22612298 ... 0.06741478 0.01289877 0.10465322],0
67,[0.0551809  0.12840183 0.09876263 ... 0.07574448 0.03679575 0.02182858],0
68,[0.03081077 0.27888559 0.00116176 ... 0.05170024 0.03043706 0.05448907],0
69,[0.02497137 0.13274835 0.00653124 ... 0.04978979 0.02899231 0.02080604],0
70,[0.18306608 0.42122976 0.02792468 ... 0.03788933 0.0015677  0.        ],0
71,[0.11359093 0.25519074 0.04315155 ... 0.11221824 0.04353254 0.12266181],0
72,[0.         0.03622527 0.05588545 ... 0.05492402 0.03019856 0.00219968],0
73,[0.05547057 0.28155648 0.25087889 ... 0.04583102 0.00897787 0.10477855],0
74,[0.15089182 0.16212912 0.00938136 ... 0.11257093 0.0340006  0.16002882],0
75,[0.01671063 0.12845806 0.13169431 ... 0.3182021  0.23279583 0.04971479],0
76,[0.08567532 0.19054098 0.0346213  ... 0.0429515  0.01093832 0.14776937],0
77,[0.19225542 0.33141817 0.0688975  ... 0.07416524 0.06703133 0.01380845],0
78,[0.08515753 0.0803581  0.03615647 ... 0.         0.         0.02495478],0
79,[0.15817127 0.28661699 0.05201965 ... 0.05862033 0.00845833 0.        ],0
80,[0.07209988 0.24019174 0.0777327  ... 0.00129572 0.02569696 0.03546008],0
81,[0.00221811 0.00942101 0.         ... 0.08193657 0.01840237 0.        ],0
82,[0.14857343 0.27692586 0.09673873 ... 0.29347728 0.30214512 0.        ],1
83,[0.         0.60212622 0.         ... 0.08934322 0.06614435 0.01132205],0
84,[0.20194233 0.08502605 0.02495562 ... 0.02709002 0.00218717 0.00885728],1
85,[0.0306311  0.10138858 0.03966397 ... 0.01916139 0.00124091 0.        ],1
86,[0.04740231 0.13211145 0.02643116 ... 0.00952707 0.01447673 0.01175377],0
87,[0.         0.00503147 0.00041857 ... 0.10299029 0.03291649 0.00608557],0
88,[0.02988637 0.03396618 0.00232526 ... 0.         0.         0.        ],1
89,[0.01257537 0.04138094 0.02190548 ... 0.02581039 0.01090495 0.00511519],0
90,[0.         0.19221232 0.08258177 ... 0.05376501 0.03629233 0.0114739 ],0
91,[0.00773594 0.12828682 0.17325006 ... 0.06343308 0.01706299 0.00414735],0
92,[0.12973214 0.13102812 0.08750252 ... 0.01817052 0.00864866 0.22403937],0
93,[0.09535911 0.20047531 0.17350062 ... 0.06349693 0.06419271 0.17659401],0
94,[0.01363086 0.00690663 0.00743829 ... 0.17939173 0.08130798 0.06684825],0
95,[0.59027178 0.42394928 0.02577727 ... 0.03359636 0.00175236 0.        ],1
96,[0.         0.         0.         ... 0.01034376 0.00203445 0.00583668],0
97,[0.21022681 0.64557771 0.03769211 ... 0.11591802 0.08805627 0.06392693],0
98,[0.         0.01872482 0.00217103 ... 0.12692287 0.00750148 0.03888524],0
99,[0.09404307 0.1948827  0.04166328 ... 0.29028428 0.01614902 0.01350229],0
100,[0.0473132  0.38081001 0.00987336 ... 0.04411827 0.01811431 0.03356928],0
101,[0.14564374 0.16770728 0.07054192 ... 0.15680423 0.01853013 0.04909168],0
102,[0.00299763 0.18306388 0.17553473 ... 0.24050876 0.01699297 0.00361486],0
103,[0.01213811 0.00759784 0.00431054 ... 0.01051235 0.00826402 0.        ],0
104,[0.09500774 0.2693467  0.17356207 ... 0.06414157 0.12452772 0.08094968],0
105,[0.10517697 0.30767536 0.20239666 ... 0.17443217 0.05689301 0.03174483],0
106,[0.16404006 0.33040477 0.16794839 ... 0.25649562 0.11159171 0.02278085],0
107,[0.11894065 0.26185247 0.23866798 ... 0.06992445 0.0506435  0.0129159 ],0
108,[0.23253804 0.38431913 0.01490501 ... 0.08407635 0.0086999  0.2140773 ],0
109,[0.01793758 0.14001124 0.08371871 ... 0.11991178 0.00566342 0.        ],0
110,[0.0231393  0.13539197 0.09588149 ... 0.06143134 0.02347863 0.00394019],0
111,[0.13709628 0.45540236 0.06220878 ... 0.08226612 0.05687076 0.00505473],0
112,[0.17321875 0.4580758  0.03168787 ... 0.04713829 0.0123289  0.        ],1
113,[0.02070316 0.09111318 0.06662068 ... 0.0141963  0.00661155 0.00430619],1
114,[0.18636338 0.31201836 0.09803882 ... 0.21372887 0.11458446 0.03154602],0
115,[0.01296363 0.02335547 0.01448312 ... 0.07362679 0.03893164 0.00092687],1
116,[0.05269866 0.11669346 0.02998865 ... 0.10658645 0.         0.        ],0
117,[0.01994251 0.02620389 0.00699249 ... 0.11603937 0.02820632 0.06901145],0
118,[0.14740307 0.35551307 0.09034258 ... 0.06334941 0.02464609 0.00983159],0
119,[0.32222088 0.30302947 0.14736774 ... 0.20166248 0.06173438 0.1100239 ],0
120,[0.         0.02661393 0.         ... 0.04600513 0.00826075 0.00554075],0
121,[0.16057504 0.34852125 0.09244285 ... 0.18984454 0.12277621 0.02558554],0
122,[0.02915291 0.08213174 0.0061421  ... 0.54345397 0.0200085  0.        ],0
123,[0.01752636 0.02818516 0.05037222 ... 0.15920945 0.06223167 0.02476177],1
124,[0.01404124 0.0566403  0.06072007 ... 0.06296516 0.03804565 0.05758575],0
125,[0.09247548 0.2597851  0.14610167 ... 0.02590271 0.01156744 0.03801253],1
126,[0.29451343 0.35297638 0.04105015 ... 0.24006626 0.09819282 0.0308195 ],0
127,[0.00953794 0.01333548 0.00060477 ... 0.02569285 0.01403946 0.00278562],0
128,[0.         0.07656412 0.23874709 ... 0.03577207 0.01805515 0.0072484 ],0
129,[0.00531579 0.05482189 0.07187769 ... 0.09095107 0.04037855 0.06234325],0
130,[0.02135847 0.03875442 0.02391214 ... 0.09185347 0.06161723 0.02417805],1
131,[0.03221117 0.07995371 0.02838807 ... 0.01133689 0.00394606 0.10914094],0
132,[0.10202973 0.34699722 0.21292529 ... 0.04072836 0.02172142 0.0263653 ],0
133,[0.12477908 0.34629286 0.03528411 ... 0.10947691 0.03693853 0.00841635],0
134,[0.06785977 0.52358165 0.44917432 ... 0.28394395 0.09350968 0.03348673],0
135,"[2.30863846e-01 4.53641796e-01 3.33144051e-02 ... 1.23170943e-01
 3.10429043e-03 2.12129599e-04]",1
136,[0.02617637 0.03684132 0.01341885 ... 0.27180656 0.22193958 0.08186123],0
137,[0.09681075 0.21956845 0.14727323 ... 0.09802789 0.04707362 0.09085695],1
138,[0.13922605 0.38670206 0.0315345  ... 0.09553031 0.01567954 0.01703902],0
139,[0.49240722 0.23403436 0.029829   ... 0.03527267 0.0138711  0.08792959],0
140,[0.10973856 0.20171362 0.18824602 ... 0.1347155  0.09265994 0.04842749],0
141,[0.06791772 0.1705432  0.17724571 ... 0.16961758 0.09989814 0.01642244],0
142,[0.02023782 0.0477379  0.00403504 ... 0.07870726 0.08598063 0.00634623],1
143,[0.04095077 0.20736516 0.05353391 ... 0.04611977 0.02863218 0.0028352 ],0
144,[0.09846211 0.2338183  0.09534335 ... 0.25148923 0.1875122  0.0525312 ],1
145,[0.13991441 0.32760727 0.0823467  ... 0.09965668 0.05829092 0.17076793],0
146,[0.00074145 0.04241723 0.0042586  ... 0.00715544 0.00607593 0.01630816],0
147,[0.01556352 0.07912116 0.07180495 ... 0.025846   0.00778023 0.00385569],0
148,[0.02672758 0.11119838 0.07033765 ... 0.03120512 0.01037523 0.        ],0
149,[0.         0.09586734 0.         ... 0.19416092 0.08489466 0.06445635],0
150,[0.03463452 0.21525553 0.16850284 ... 0.06130813 0.01286898 0.00224757],0
151,[0.07195849 0.19296012 0.07069329 ... 0.06431605 0.0690106  0.0632341 ],1
152,[0.03117421 0.03811362 0.07202488 ... 0.34792681 0.14839048 0.00074126],0
153,[0.22946151 0.38037606 0.28983105 ... 0.01085482 0.01099614 0.01059559],1
154,[0.26782372 0.42189168 0.00820817 ... 0.01893943 0.00463994 0.29808717],0
155,[0.08251301 0.13518597 0.15047444 ... 0.23281804 0.07242105 0.02767772],0
156,[0.06772073 0.21318581 0.10714314 ... 0.28984437 0.23106862 0.0137851 ],0
157,[0.10296578 0.14535189 0.08398371 ... 0.15009259 0.05046513 0.07839059],1
158,[0.14838846 0.30293563 0.12324126 ... 0.23725524 0.12542389 0.05836726],0
159,[0.15953394 0.23628434 0.0869076  ... 0.13825242 0.02043413 0.00104033],1
160,[       nan        nan        nan ... 0.13216384 0.         0.        ],0
161,[0.21086529 0.15575815 0.02332399 ... 0.04934633 0.01217357 0.01166519],0
162,[0.0619696  0.17730193 0.03115213 ... 0.13573302 0.04530109 0.10289995],0
163,[0.06077303 0.23028024 0.06909752 ... 0.00245009 0.00034118 0.00211604],0
164,[0.17314495 0.37772292 0.22455416 ... 0.13708033 0.03542245 0.03359358],0
165,[0.04704026 0.16774764 0.073547   ... 0.04249695 0.         0.        ],0
166,[0.         0.0073303  0.01270879 ... 0.10582559 0.05266192 0.05070855],0
167,[0.05652016 0.25282657 0.00632692 ... 0.02595962 0.00800495 0.27751051],0
168,[0.10485306 0.18602363 0.05716225 ... 0.07911866 0.02590778 0.02301901],0
169,[0.19653654 0.22174074 0.43553732 ... 0.02301703 0.04394973 0.        ],0
170,[0.19817664 0.33189617 0.06509313 ... 0.0961852  0.0168222  0.00674794],1
171,[0.059786   0.02549626 0.00973913 ... 0.02331549 0.01465254 0.00586835],0
172,[0.17470273 0.19051277 0.06738567 ... 0.14684305 0.01709766 0.02012485],0
173,[0.         0.         0.         ... 0.04195123 0.         0.08221732],0
174,[0.03715328 0.24733338 0.         ... 0.00710216 0.00528773 0.00209171],0
175,[0.01296891 0.0244661  0.01047072 ... 0.01729099 0.00313011 0.00347493],0
176,[0.03630026 0.07128299 0.03680896 ... 0.10974815 0.05249005 0.00857041],0
177,[0.08786849 0.04491048 0.04821078 ... 0.00405884 0.00414071 0.00343309],0
178,[0.         0.02252663 0.00857348 ... 0.16032294 0.06896192 0.08734772],0
179,[0.08474894 0.19581542 0.02944439 ... 0.30965011 0.04582161 0.01998062],1
180,[0.17973237 0.59852257 0.10517241 ... 0.11867708 0.0314158  0.02933932],0
181,[       nan        nan        nan ... 0.00960318 0.01138067 0.12993193],0
182,[0.23497125 0.30520508 0.04718897 ... 0.20419056 0.15083902 0.03623641],0
183,[0.01673599 0.05535032 0.01597025 ... 0.05689119 0.05357287 0.00990495],0
184,[0.23512561 0.35334905 0.05655723 ... 0.03038551 0.04018058 0.0645304 ],1
185,[0.04604416 0.15508912 0.19522843 ... 0.02571774 0.         0.03959194],0
186,[0.07873627 0.14154742 0.05592595 ... 0.05204768 0.01428086 0.22871253],0
187,[0.         0.17796716 0.         ... 0.26991412 0.11785428 0.03636617],0
188,[0.22139865 0.32923564 0.15624773 ... 0.07735362 0.00698737 0.03299595],0
189,[0.         0.05212345 0.         ... 0.03590339 0.00694129 0.07014261],0
190,[0.00366329 0.01341932 0.00184386 ... 0.14487566 0.0808024  0.01144381],0
191,[0.04039531 0.14089577 0.06519511 ... 0.05785653 0.03606945 0.0043542 ],0
192,[0.24426868 0.40417818 0.02104916 ... 0.12999843 0.02112729 0.00091285],0
193,[0.         0.01012    0.00108403 ... 0.15971879 0.03970529 0.05061261],0
194,[0.08711202 0.19562003 0.14717519 ... 0.37824289 0.09681741 0.04247064],0
195,[0.03135075 0.23070511 0.24656995 ... 0.10795858 0.12927226 0.10087073],0
196,[0.         0.         0.         ... 0.01457051 0.00512598 0.18166253],0
197,[0.19892474 0.34335645 0.13607339 ... 0.10003325 0.         0.02267246],1
198,[0.09627029 0.20721977 0.12041846 ... 0.08314388 0.05080708 0.05845507],0
199,[0.00385379 0.00174452 0.01254037 ... 0.19270475 0.09405486 0.09404493],0
200,[0.02550508 0.30234526 0.0488656  ... 0.27718669 0.10285642 0.07355214],0
201,[0.07499264 0.39748004 0.13381313 ... 0.10067135 0.02291795 0.04919634],0
202,[0.32359462 0.42114238 0.18653412 ... 0.01533488 0.00346295 0.004519  ],0
203,[0.15579475 0.57774883 0.00620121 ... 0.12574677 0.07517236 0.01115969],0
204,[0.00652038 0.04499283 0.01500817 ... 0.06823138 0.04545999 0.05719289],0
205,[0.05539223 0.23593415 0.12495025 ... 0.03267134 0.00347054 0.03071935],0
206,[0.34756495 0.60591029 0.09885208 ... 0.17590333 0.11919586 0.07994759],0
207,[0.14021484 0.20826037 0.12176742 ... 0.06231029 0.00978966 0.07184489],0
208,[0.0159985  0.04624438 0.00057381 ... 0.03599311 0.00793332 0.        ],0
209,[0.10197849 0.21282724 0.1013506  ... 0.05325253 0.03435139 0.02369475],0
210,[0.         0.04000929 0.01419704 ... 0.04773686 0.0038488  0.4218076 ],0
211,[0.         0.06292456 0.02664567 ... 0.15346399 0.03916698 0.08664513],0
212,[0.13121841 0.29117837 0.09490758 ... 0.06185693 0.00727066 0.        ],0
213,[0.06181409 0.08343964 0.04715051 ... 0.1071993  0.         0.00146622],0
214,[0.14276633 0.21242267 0.06534269 ... 0.02917747 0.00999204 0.        ],0
215,[0.1208945  0.22412748 0.21231569 ... 0.07564009 0.01608842 0.00507904],0
216,[0.07601127 0.21680886 0.14081359 ... 0.20394436 0.07097452 0.12677846],0
217,[0.1120116  0.18364829 0.05823101 ... 0.07626906 0.0106682  0.        ],0
218,[0.39371556 0.29934186 0.122972   ... 0.30872932 0.06377677 0.0769757 ],0
219,[0.14738638 0.2970436  0.1390922  ... 0.15346197 0.07811449 0.01480699],0
220,[0.01584344 0.29314699 0.22897601 ... 0.06279102 0.03202399 0.09168795],0
221,[0.09536535 0.26950359 0.15841839 ... 0.14597492 0.14229127 0.08139731],0
222,[0.2727545  0.43397118 0.13353574 ... 0.12727941 0.03182409 0.        ],0
223,[0.03402105 0.08851342 0.03132063 ... 0.00174014 0.00086884 0.02053287],1
224,[0.00287875 0.00758135 0.00091299 ... 0.08496123 0.03110869 0.0082739 ],0
225,[0.1741305  0.24780022 0.019555   ... 0.15174778 0.03383265 0.01728296],0
226,[0.         0.         0.         ... 0.01820301 0.00977033 0.00941649],0
227,[0.00069856 0.01621823 0.01890682 ... 0.         0.         0.44526418],0
228,[0.09124981 0.3334751  0.0444945  ... 0.04486438 0.00353549 0.00726076],0
229,[0.02559918 0.53107084 0.09407686 ... 0.09567558 0.03309802 0.03234104],0
230,[0.13390675 0.14254521 0.12423136 ... 0.17124975 0.         0.00978578],1
231,[0.1181596  0.2410047  0.11601564 ... 0.42440331 0.35016051 0.08028815],0
232,[0.11895565 0.38570788 0.1649147  ... 0.10364516 0.05197109 0.10220367],0
233,[0.09212843 0.03517911 0.02660635 ... 0.09090042 0.11436063 0.        ],0
234,[0.1703653  0.17373699 0.09539254 ... 0.11422075 0.0446453  0.01321145],0
235,[0.         0.         0.         ... 0.22121458 0.00422721 0.00390539],0
236,[0.14206314 0.86946333 0.22961799 ... 0.02851927 0.         0.4315242 ],0
237,[0.02421176 0.16814314 0.06969812 ... 0.14636606 0.03457902 0.08831923],0
238,[0.11813082 0.30646337 0.10961781 ... 0.09582497 0.04123806 0.06236785],0
239,[0.25211993 0.30372139 0.03192372 ... 0.14770147 0.03741896 0.00974946],0
240,[0.05449619 0.03380667 0.07538268 ... 0.11975864 0.03803084 0.0055585 ],0
241,[0.01601535 0.0446419  0.01806701 ... 0.02277153 0.01348433 0.00390483],0
242,[0.         0.01258563 0.         ... 0.27380824 0.05018665 0.00870187],0
243,[0.0466275  0.18372628 0.11096738 ... 0.0895681  0.03400385 0.        ],1
244,[0.09086123 0.28681427 0.21136464 ... 0.13280731 0.06931438 0.2123109 ],0
245,[0.03898316 0.15379515 0.16203875 ... 0.24167531 0.03110299 0.0280102 ],0
246,[0.0054502  0.07301198 0.22050988 ... 0.07229943 0.05273139 0.01834054],1
247,[0.01506715 0.06696298 0.09240429 ... 0.088007   0.00391207 0.00038368],0
248,[0.03036113 0.11931388 0.11967219 ... 0.01452416 0.010791   0.00143363],0
249,[0.1602762  0.5874297  0.11545528 ... 0.06696127 0.01534311 0.12945417],0
250,[0.05550092 0.13534726 0.00383872 ... 0.15529052 0.13910603 0.00342673],1
251,[0.02918332 0.08958087 0.13805797 ... 0.13365556 0.06846745 0.        ],0
252,[0.36845943 0.21641987 0.         ... 0.03808237 0.02345367 0.00418887],0
253,[0.14815655 0.25000252 0.11103106 ... 0.11414144 0.05924826 0.00042926],0
254,[       nan        nan        nan ... 0.11313947 0.03525286 0.02571885],0
255,[0.0126644  0.08084343 0.16048756 ... 0.01400641 0.         0.        ],1
256,[0.18966674 0.23447464 0.13806139 ... 0.27106891 0.06029556 0.02482569],0
257,[0.         0.0139146  0.         ... 0.0345251  0.01591581 0.03226567],0
258,[0.15501126 0.18355945 0.04435766 ... 0.01789648 0.01027802 0.00727653],0
259,[0.09954737 0.20471728 0.03511722 ... 0.23394374 0.01179818 0.        ],1
260,[0.         0.04703348 0.02472592 ... 0.07601637 0.065641   0.01288392],0
261,[0.05394226 0.17309727 0.08743045 ... 0.0684215  0.03556041 0.02104318],1
262,[0.02074542 0.0478643  0.01538192 ... 0.03548097 0.00619614 0.00138042],1
263,[0.35503493 0.46768391 0.12446999 ... 0.03026544 0.0044929  0.00152538],1
264,"[0.00000000e+00 1.70013580e-02 3.10184126e-03 ... 2.72166200e-02
 6.49771240e-05 0.00000000e+00]",0
265,[0.06532637 0.24544003 0.1092409  ... 0.3177825  0.02790954 0.00074203],0
266,[0.00109951 0.03982957 0.01676862 ... 0.07171982 0.0274382  0.00152204],1
267,[0.10763779 0.24401446 0.19175955 ... 0.00467908 0.00928996 0.16236799],1
268,[0.07058496 0.17590279 0.08189599 ... 0.24395888 0.11042273 0.10710989],0
269,[0.20518157 0.3505344  0.16216944 ... 0.06712579 0.01747718 0.01910324],1
270,[0.06050727 0.18759351 0.01927422 ... 0.06997192 0.0514785  0.06914603],0
271,[0.30463617 0.67354714 0.00287647 ... 0.00945422 0.01336384 0.00671818],0
272,[0.00838886 0.05022602 0.02718311 ... 0.19713665 0.098045   0.14691068],1
273,[0.04748014 0.0402897  0.02873997 ... 0.00317646 0.00162298 0.01512724],1
274,[0.03024045 0.20972575 0.1942816  ... 0.31846609 0.10232048 0.02999366],1
275,[0.01281676 0.04323299 0.02059765 ... 0.11742251 0.00494272 0.        ],0
276,"[9.98115052e-02 3.74554942e-01 9.12438748e-02 ... 5.84272584e-02
 1.20931965e-02 1.76688116e-04]",0
277,[0.02979694 0.13360663 0.00324236 ... 0.03345606 0.01363183 0.04700469],0
278,[0.30773424 0.29074385 0.06262192 ... 0.08339455 0.01486411 0.01689052],0
279,[0.13791848 0.20756504 0.12409883 ... 0.17339037 0.01415431 0.06285032],0
280,[0.         0.         0.         ... 0.198171   0.02274988 0.12110711],0
281,[0.01727702 0.30347756 0.14834057 ... 0.10510372 0.00161072 0.04000848],0
282,[0.04659113 0.09569295 0.00591061 ... 0.16961362 0.10582038 0.03019748],0
283,[0.04940012 0.27132083 0.39041962 ... 0.01482551 0.         0.        ],0
284,[0.05365073 0.18823821 0.16305165 ... 0.14238885 0.04172124 0.10009637],0
285,[0.04630499 0.09154768 0.00588737 ... 0.02437033 0.01507354 0.37201869],0
286,[0.         0.17727207 0.         ... 0.15534769 0.06445141 0.07305994],0
287,[0.01558928 0.12106498 0.02260847 ... 0.14030802 0.07578269 0.06218584],0
288,[0.09696138 0.29740239 0.11243537 ... 0.0990321  0.07867045 0.12495359],0
289,[0.19889399 0.24764009 0.0840868  ... 0.03098567 0.00306584 0.01055329],0
290,[0.08243678 0.20115533 0.04035072 ... 0.2175963  0.08228716 0.02982459],0
291,[0.01891241 0.26842807 0.00240178 ... 0.16597626 0.04106204 0.01619517],0
292,[       nan        nan        nan ... 0.02374417 0.02870329 0.04406616],0
293,[0.02527727 0.13444031 0.06232799 ... 0.10717984 0.07374728 0.0319268 ],0
294,[0.03868891 0.12720298 0.06018535 ... 0.0510074  0.00197473 0.        ],0
295,[0.18122872 0.2825203  0.08204128 ... 0.03142514 0.01392416 0.02750407],0
296,[0.01596524 0.01416575 0.01803651 ... 0.14419133 0.01766578 0.02785478],0
297,[0.17700408 0.06057419 0.09154313 ... 0.14612504 0.03764453 0.03984606],0
298,[0.12795265 0.15455775 0.09505942 ... 0.10021076 0.0531539  0.04526639],1
299,[0.03946319 0.06409787 0.0364297  ... 0.14446255 0.03960123 0.0766802 ],0
300,[0.02974466 0.07222629 0.02827611 ... 0.05743741 0.04435223 0.03485514],0
301,[0.13305005 0.19056347 0.16077457 ... 0.13219053 0.03357396 0.16649541],0
302,[0.01489007 0.04119141 0.02668752 ... 0.71962715 0.25946354 0.00158162],1
303,[0.11688526 0.20491866 0.06283254 ... 0.16332653 0.04621966 0.0261265 ],0
304,[0.01050447 0.05673937 0.1209893  ... 0.09047489 0.00966068 0.02611927],1
305,[0.02344845 0.0696694  0.05071429 ... 0.05196631 0.02244029 0.00511004],0
306,[0.12513104 0.35865869 0.24580165 ... 0.06143986 0.0336075  0.03271166],0
307,[0.16898914 0.28850905 0.22855653 ... 0.07961006 0.04776995 0.07222159],0
308,[0.08321798 0.3917776  0.15988742 ... 0.3068056  0.06795477 0.12697942],0
309,[0.16743018 0.33169975 0.25910711 ... 0.00187608 0.0063782  0.37641606],1
310,[0.18500099 0.24800191 0.12125473 ... 0.12520644 0.11879312 0.03685163],0
311,[0.19986706 0.233143   0.17281168 ... 0.14556748 0.04907279 0.00888937],0
312,[0.03955495 0.06994425 0.01221571 ... 0.00478764 0.00605927 0.02004554],0
313,[0.09302615 0.12925908 0.02750471 ... 0.06892527 0.02364911 0.00537204],1
314,[0.05064153 0.11819241 0.03941089 ... 0.         0.         0.10142556],0
315,[0.12703898 0.16067494 0.04844338 ... 0.20058523 0.02505037 0.0100837 ],1
316,[0.01072839 0.02257209 0.05552792 ... 0.02343274 0.00352131 0.00178061],0
317,[0.0481228  0.10763263 0.03081511 ... 0.04993173 0.02254139 0.        ],0
318,[0.04740755 0.15759773 0.11536153 ... 0.11646879 0.02555819 0.05368879],1
319,[0.03793675 0.0689741  0.00689318 ... 0.08707414 0.0561197  0.00616063],0
320,[0.23351587 0.35632689 0.14134055 ... 0.12006395 0.05857667 0.06390588],0
321,[0.07787007 0.19625745 0.22059488 ... 0.20470961 0.11802081 0.        ],0
322,[0.01574012 0.02623327 0.01930315 ... 0.02533885 0.00834646 0.08106598],0
